date,temperature,humidity,luminosity
2021-11-17 14:37:52.366,19.5,28.4,23
2021-11-17 14:37:50.089,19.4,28.3,23
2021-11-17 14:37:47.815,19.4,28.4,23
2021-11-17 14:37:45.538,19.4,28.4,22
2021-11-17 14:37:43.260,19.4,28.5,20
2021-11-17 14:37:40.983,19.4,28.5,20
2021-11-17 14:37:38.705,19.3,28.4,20
2021-11-17 14:37:36.428,19.3,28.4,20
2021-11-17 14:37:34.155,19.3,28.5,20
2021-11-17 14:37:31.877,19.3,28.5,20
2021-11-17 14:37:29.600,19.3,28.5,20
2021-11-17 14:37:27.322,19.2,28.3,19
2021-11-17 14:37:25.045,19.2,28.3,19
2021-11-17 14:37:22.767,19.2,28.3,20
2021-11-17 14:37:20.490,19.2,28.3,20
2021-11-17 14:37:18.216,19.2,28.3,19
2021-11-17 14:37:15.939,19.2,28.3,18
2021-11-17 14:37:13.661,19.2,28.3,18
2021-11-17 14:37:11.384,19.1,28.3,17
2021-11-17 14:37:09.106,19.1,28.3,17
2021-11-17 14:37:06.829,19.1,28.3,17
2021-11-17 14:37:04.551,19.1,28.3,16
2021-11-17 14:37:02.274,19.1,28.3,17
2021-11-17 14:37:00.001,19.1,28.3,17
2021-11-17 14:36:57.723,19.0,28.2,17
2021-11-17 14:36:55.446,19.0,28.2,17
2021-11-17 14:36:53.168,19.0,28.2,17
2021-11-17 14:36:50.891,19.0,28.3,17
2021-11-17 14:36:48.613,19.0,28.3,17
2021-11-17 14:36:46.336,19.0,28.3,17
2021-11-17 14:36:44.058,18.9,28.2,17
2021-11-17 14:36:41.785,18.9,28.2,17
2021-11-17 14:36:39.507,18.9,28.2,17
2021-11-17 14:36:37.230,18.9,28.1,17
2021-11-17 14:36:34.952,18.9,28.1,15
2021-11-17 14:36:32.675,18.9,28.1,20
2021-11-17 14:36:30.397,18.9,28.2,21
2021-11-17 14:36:28.119,18.9,28.2,20
2021-11-17 14:36:25.842,18.9,28.2,21
2021-11-17 14:36:23.568,18.9,28.2,20
2021-11-17 14:36:21.291,18.9,28.3,20
2021-11-17 14:36:19.013,18.9,28.3,20
2021-11-17 14:36:16.736,18.9,28.3,21
2021-11-17 14:36:14.458,18.9,28.3,22
2021-11-17 14:36:12.181,18.9,28.3,22
2021-11-17 14:36:09.903,18.9,28.3,22
2021-11-17 14:36:07.626,18.9,28.3,22
2021-11-17 14:36:05.353,19.0,28.4,22
2021-11-17 14:36:03.075,18.9,28.3,22
2021-11-17 14:36:00.797,18.9,28.3,22
2021-11-17 14:35:58.520,18.9,28.3,22
2021-11-17 14:35:56.243,18.9,28.4,22
2021-11-17 14:35:53.965,18.9,28.4,22
2021-11-17 14:35:51.688,18.9,28.4,22
2021-11-17 14:35:49.414,18.9,28.4,22
2021-11-17 14:35:47.137,18.9,28.4,22
2021-11-17 14:35:44.859,18.9,28.4,22
2021-11-17 14:35:42.582,18.9,28.3,22
2021-11-17 14:35:40.304,18.9,28.3,22
2021-11-17 14:35:38.027,18.9,28.4,22
2021-11-17 14:35:35.749,18.9,28.4,22
2021-11-17 14:35:33.472,18.9,28.4,22
2021-11-17 14:35:31.198,18.9,28.3,22
2021-11-17 14:35:28.921,18.9,28.3,22
2021-11-17 14:35:26.644,18.9,28.3,22
2021-11-17 14:35:24.366,18.9,28.3,22
2021-11-17 14:35:22.089,18.9,28.3,22
2021-11-17 14:35:19.811,18.9,28.3,22
2021-11-17 14:35:17.534,18.9,28.3,22
2021-11-17 14:35:15.256,18.9,28.3,22
2021-11-17 14:35:12.983,18.9,28.3,22
2021-11-17 14:35:10.705,18.9,28.3,22
2021-11-17 14:35:08.428,19.0,28.3,22
2021-11-17 14:35:06.150,18.9,28.3,22
2021-11-17 14:35:03.873,18.9,28.3,22
2021-11-17 14:35:01.595,18.9,28.3,22
2021-11-17 14:34:59.318,19.0,28.3,22
2021-11-17 14:34:57.040,19.0,28.3,22
2021-11-17 14:34:54.767,18.9,28.3,22
2021-11-17 14:34:52.489,19.0,28.3,22
2021-11-17 14:34:50.212,19.0,28.3,22
2021-11-17 14:34:47.934,19.0,28.3,22
2021-11-17 14:34:45.657,19.0,28.3,22
2021-11-17 14:34:43.379,19.0,28.3,22
2021-11-17 14:34:41.102,19.0,28.3,22
2021-11-17 14:34:38.824,19.0,28.3,22
2021-11-17 14:34:36.551,19.0,28.3,22
2021-11-17 14:34:34.273,19.0,28.3,22
2021-11-17 14:34:31.996,19.0,28.3,22
2021-11-17 14:34:29.718,19.0,28.3,22
2021-11-17 14:34:27.441,19.0,28.3,22
2021-11-17 14:34:25.163,19.0,28.3,22
2021-11-17 14:34:22.886,19.0,28.3,22
2021-11-17 14:34:20.608,18.9,28.3,22
2021-11-17 14:34:18.335,18.9,28.3,22
2021-11-17 14:34:16.057,18.9,28.2,22
2021-11-17 14:34:13.780,18.9,28.2,22
2021-11-17 14:34:11.502,18.9,28.2,22
2021-11-17 14:34:09.225,18.9,28.2,22
2021-11-17 14:34:06.947,19.0,28.2,22
2021-11-17 14:34:04.670,18.9,28.2,22
2021-11-17 14:34:02.396,18.9,28.1,22
2021-11-17 14:34:00.119,19.0,28.1,21
2021-11-17 14:33:57.841,19.0,28.1,22
2021-11-17 14:33:55.564,18.9,28.1,22
2021-11-17 14:33:53.286,18.9,28.0,22
2021-11-17 14:33:51.009,19.0,28.1,22
2021-11-17 14:33:48.731,18.9,28.0,22
2021-11-17 14:33:46.458,19.0,28.0,22
2021-11-17 14:33:44.180,19.0,28.0,22
2021-11-17 14:33:41.903,19.0,28.0,22
2021-11-17 14:33:39.625,19.0,28.0,22
2021-11-17 14:33:37.348,19.0,28.0,22
2021-11-17 14:33:35.070,19.0,28.0,22
2021-11-17 14:33:32.793,19.0,28.0,22
2021-11-17 14:33:30.519,19.0,28.0,21
2021-11-17 14:33:28.242,19.0,28.0,22
2021-11-17 14:33:25.964,19.0,28.0,22
2021-11-17 14:33:23.687,19.0,28.0,22
2021-11-17 14:33:21.410,19.1,28.0,22
2021-11-17 14:33:19.132,19.0,27.9,21
2021-11-17 14:33:16.855,19.1,27.9,22
2021-11-17 14:33:14.577,19.1,27.9,22
2021-11-17 14:33:12.304,19.1,27.9,22
2021-11-17 14:33:10.026,19.1,28.0,22
2021-11-17 14:33:07.749,19.1,28.0,22
2021-11-17 14:33:05.471,19.1,28.0,22
2021-11-17 14:33:03.194,19.1,28.0,22
2021-11-17 14:33:00.916,19.1,28.0,21
